What is the scattering of a photon by a charged particle, usually an electron?	Compton scattering, discovered by Arthur Holly Compton,	WAS
What is Compton scattering, discovered by Arthur Holly Compton, the?	scattering of a photon by a charged particle, usually an electron	WAD
What is transferred to the recoiling electron?	part of the energy of the photon	WAS
To what is part of the energy of the photon transferred?	to the recoiling electron	WAI
What occurs when a charged particle transfers part of its energy to a photon?	Inverse Compton scattering	WAS
Where is QFT used to construct physical models of subatomic particles and in condensed matter physics to construct models of quasiparticle?	in particle physics	WHE
What does QFT treat as excited states of their underlying quantum fields, which are more fundamental than the particles?	particles	WAD
As what does QFT treat particles?	as excited states of their underlying quantum fields, which are more fundamental than the particles	WAI
What is described by interaction terms in the Lagrangian involving their corresponding quantum fields?	interactions between particles	WAS
By what are interactions between particles described?	by interaction terms in the Lagrangian involving their corresponding quantum fields	WAI
What visually can be represented by Feynman diagrams according to perturbation theory in quantum mechanic?	each interaction	WAS
What can each interaction visually be represented by Feynman diagrams?	according to perturbation theory in quantum mechanic	WAD
By what can each interaction visually be represented according to perturbation theory in quantum mechanic?	by Feynman diagrams	WAI
What is the result of disturbances in the magnetosphere caused by solar wind?	auroras	WAS
What are auroras the?	result of disturbances in the magnetosphere caused by solar wind	WAD
What does the resulting ionization of atmospheric constituents and excitation emit?	light of varying color and complexity	WAD
What is also dependent on the amount of acceleration imparted to the precipitating particles?	the form of the aurora, occurring within bands around both polar regions,	WAS
What is the form of the aurora, occurring within bands around both polar regions, also?	dependent on the amount of acceleration imparted to the precipitating particles	WAD
What generally produces optical emissions as incident hydrogen atoms after gaining electrons from the atmosphere?	precipitating protons	WAS
What do precipitating protons generally produce after gaining electrons from the atmosphere?	optical emissions as incident hydrogen atoms	WAD
What usually is observed at lower latitudes?	proton auroras	WAS
At what is proton auroras usually observed?	at lower latitudes	WAI
What also hosts auroras?	most most of the planets in our solar system, some natural satellites, brown dwarfs, and even comets	WAS
